Date,QQQ,XLK,VGT,FDN,IYW,IXN,XT,IGV,QTEC,FTEC,FXL,KWEB,SKYY,HACK,RYT,IGM,ARKK,ROBO,SOXX,SMH,TDIV,CIBR,SOXL,PNQI,TECL,CQQQ,ARKW,XNTK,IPAY,EMQQ,PSCT,PSJ,ROM,XSD,PSI,IEUS,SOCL,XSW,PTF,SOXS,JHMT,ITEQ,PXQ,ISRA,IGN,USD,TECS,SSG,SCID,REW
20161031,116.9400,47.4327,119.7100,81.3600,118.5900,109.7700,25.2500,112.4300,50.9100,36.2973,36.0700,39.8100,34.4600,26.5600,104.6700,122.8600,19.8900,27.5200,111.3700,68.2500,28.6600,19.4200,45.7800,86.8100,47.3200,39.5800,24.7500,59.9270,24.7600,25.8800,61.2600,46.9600,47.2800,50.9415,32.1500,43.1500,23.5400,53.6999,39.4300,76.8000,30.1100,24.3500,38.5400,26.8000,40.1900,19.5467,96.3000,51.2400,22.6300,33.7200
20161130,117.4300,47.4781,120.2600,79.9200,118.9300,108.9800,26.2600,111.8200,52.1700,36.4662,37.7800,37.9600,34.6500,27.1000,107.9800,122.8600,20.1000,28.1400,119.2600,70.9900,29.2200,19.9000,55.5300,84.2300,47.0600,38.2400,25.2700,60.3910,25.1400,24.4300,67.7300,48.0700,47.4100,54.9226,35.3500,42.2300,23.0000,55.3180,40.3300,60.9500,30.7400,24.9600,40.5500,27.2900,43.0900,21.5850,94.8500,45.8000,21.9900,33.3200
20161230,118.3900,48.3036,121.4400,79.7900,120.2000,110.0400,26.7600,108.8100,52.6200,36.8348,37.9000,34.8000,34.4700,26.4900,108.4700,123.7800,20.0300,28.6400,122.6600,71.6800,29.5500,19.5000,57.0800,82.6600,49.8700,35.5900,25.0600,60.5321,25.4300,22.9400,69.5800,47.1700,48.5500,56.0831,36.1000,43.7500,21.6700,54.5009,40.0200,53.9000,30.7300,24.8800,40.3900,26.8400,43.6300,22.5767,88.0500,42.8000,22.1600,32.2500
20170131,124.5800,50.0967,126.7700,85.3200,125.9200,115.2700,27.9000,117.2000,56.3000,38.4488,39.3500,38.1000,36.4800,28.3800,113.3200,129.8000,22.2700,30.4400,127.8100,74.5700,30.5900,20.7300,64.0400,89.9600,55.4100,38.6700,27.5700,64.3063,26.3800,25.3000,71.3500,49.0500,53.1800,58.2286,37.7600,45.2200,23.5900,56.2475,41.8000,47.0000,32.1400,26.1100,41.3800,27.5500,44.2000,23.4200,78.7000,40.8800,22.7200,29.3100
20170228,130.0000,52.3685,133.0000,86.2000,132.1700,120.3500,29.0800,122.7800,58.5700,40.3389,41.0900,39.9900,37.7700,29.0200,118.4200,135.5000,23.0800,31.4200,131.4600,76.3700,31.5200,21.3200,69.3100,92.3300,63.0700,40.1300,28.2400,67.2009,27.7600,26.7200,71.4800,50.4800,58.5150,59.7610,39.3600,45.8900,24.1700,58.1582,43.4800,42.8500,33.6100,26.7600,42.3600,28.5800,46.1200,24.4500,68.8000,38.9400,23.0600,26.5600
20170331,132.3600,53.3112,135.5500,88.0500,135.1100,124.0700,29.7000,126.4500,60.1100,41.1206,42.0100,42.2500,38.6500,29.5000,120.7400,138.3900,23.8800,32.0700,136.8500,79.7100,31.6900,21.6700,78.2800,94.2800,66.9800,41.7600,28.8300,68.6804,27.9700,27.6900,72.9700,51.4700,61.3550,60.3406,41.7300,47.4200,24.7600,58.8168,44.6700,37.3000,34.3700,28.4000,43.9100,29.0200,45.5400,26.1033,64.2500,36.2000,24.0100,25.2100
20170428,135.9800,54.3703,138.7900,92.2100,138.1800,127.5300,30.4200,130.6400,61.2400,42.0974,42.6700,44.7500,39.3400,28.9700,122.8900,141.9900,25.1600,33.0300,136.1100,79.6900,31.7500,21.3500,76.4100,99.1400,70.7700,43.6300,30.2900,70.8564,28.2700,29.6800,72.5500,53.4400,64.0600,59.3618,42.4700,50.6200,26.5600,59.5974,45.2500,37.5000,35.1000,29.0300,43.5800,29.6400,44.9900,25.6300,60.5000,36.6000,25.2800,24.0700
20170531,141.2300,56.4932,144.9100,94.6800,144.1500,133.6000,31.7000,138.5100,64.9400,43.9614,44.7800,47.5800,40.0900,30.3100,127.7900,148.2800,28.3000,34.5500,147.9900,85.9300,32.2100,21.7400,96.8400,104.1700,78.8800,44.8100,35.1600,73.6657,29.4300,31.8100,74.0800,56.4800,69.5150,64.5128,45.2200,52.8100,28.5200,62.4794,47.6900,28.4700,36.5600,29.9800,44.5200,30.3700,45.2500,30.0033,53.5500,30.8400,26.5800,22.0200
20170630,137.4500,54.7372,140.8600,94.7300,139.7200,130.8500,31.6500,136.8700,62.4200,42.7344,43.5400,47.8300,39.4700,29.9700,124.8500,144.5800,28.8800,34.2200,140.2200,81.9400,31.2000,21.5200,81.4800,102.9700,71.8400,46.5400,35.0600,72.8016,29.6900,31.6200,73.9600,55.7700,65.3300,61.7023,41.7200,51.5900,28.2100,62.5786,45.9200,32.2700,35.4800,29.5200,43.5700,30.7700,45.7800,26.6667,57.6000,33.9800,26.3400,23.1500
20170731,143.1600,57.1706,146.6300,98.8600,144.8000,136.7200,32.7400,142.1500,64.2600,44.4950,45.1200,54.1000,40.8400,29.2400,129.4900,150.7800,29.5900,36.1000,147.0300,85.8000,31.7000,21.2300,93.1100,110.7100,81.4100,51.3400,36.8200,75.4102,31.3100,35.0900,76.9800,58.2300,70.0000,65.0259,44.8500,53.8800,29.6000,64.0017,48.9100,27.6400,36.6200,29.8100,44.1300,30.6300,46.3800,29.1733,50.4000,30.7600,27.3500,21.5000
20170831,146.0400,58.8235,151.1900,100.5000,149.7500,140.4500,33.5300,147.4500,65.9800,45.8783,46.7000,56.0600,41.4400,29.7500,131.8800,153.9700,34.1400,36.7400,151.2800,88.6100,32.1400,21.5200,100.0900,109.2900,87.9400,55.0000,41.1500,77.6897,31.8400,35.5100,74.4000,60.1400,74.6900,63.8853,45.5700,53.9700,30.9100,64.8009,48.7100,24.9000,37.6200,30.1600,44.5300,28.6300,45.5500,30.3767,45.9500,29.1600,27.4100,19.9800
20170929,145.5200,59.1256,152.0700,102.3500,149.9300,142.1900,34.2700,146.2500,68.1400,46.1552,47.9700,56.6900,41.8800,30.1100,135.0200,155.2900,34.1700,38.5600,158.6100,93.3400,32.3900,21.8500,115.2900,110.0900,89.6700,56.9900,40.5900,78.8502,32.5700,36.2100,78.9000,61.9300,75.0300,65.5728,49.4100,56.0900,31.3900,65.8024,50.5200,21.0900,38.3800,31.3800,45.5000,29.8000,46.1400,33.8300,44.6000,25.9000,28.2200,19.7900
20171031,152.1200,62.9572,163.2500,107.4600,161.5400,152.7800,34.9100,156.4100,72.8200,49.5456,51.1700,56.4400,43.8300,30.7100,142.4400,166.9700,35.3800,40.4800,172.7000,101.6400,34.2900,22.3300,148.0000,113.9600,107.6200,59.1400,43.1200,83.7285,33.9100,36.9200,81.1300,65.7200,86.8800,70.8235,54.0500,56.4200,32.6700,68.6477,53.6600,16.2500,40.9400,32.4400,45.9500,29.7600,46.4200,41.3000,36.8000,21.0600,28.4300,16.9900
20171130,155.2300,63.8644,165.1300,108.9700,163.1000,154.1700,35.4000,155.8300,72.5300,50.1166,51.8800,56.7200,45.4600,31.4200,143.8500,168.9400,37.0900,41.6700,172.6500,100.2600,35.0200,22.5800,145.6600,113.6400,111.5100,61.4900,45.2400,84.5620,34.6000,37.1900,78.6200,64.7300,88.3000,71.1598,51.2800,56.6800,32.9000,69.7369,53.7300,15.9300,41.2700,32.0900,47.1400,30.0100,48.8800,41.7533,35.1000,20.5400,28.6200,16.6100
20171229,155.6800,63.8862,164.6400,109.8100,162.6700,153.3800,35.4100,154.5200,71.9200,49.9592,51.3100,58.5600,45.8400,31.6800,142.9700,168.6400,37.0500,41.2800,169.7700,97.7700,35.1500,23.0500,137.7600,115.6500,112.0900,60.5500,45.9700,83.7669,34.8000,37.9900,76.4700,63.4300,87.9000,69.7914,50.4400,57.8500,33.0400,69.2040,52.4600,16.5100,41.0400,31.6100,46.0900,30.3700,48.1300,40.6833,34.6000,20.8600,27.8300,16.6100
20180131,169.1800,68.4114,177.0400,121.7900,174.3500,164.7100,37.8600,170.0900,77.5300,53.7238,55.5400,66.0000,49.0600,33.1600,155.3100,184.7400,41.1100,45.2000,184.4700,106.5000,37.1900,24.1100,173.7700,129.9900,136.5200,64.4100,50.6200,92.2613,38.1200,42.0700,77.8800,69.0100,100.6500,73.4357,53.5000,61.1700,35.9300,74.4669,56.6400,12.5200,44.2100,33.0400,48.5100,31.6900,50.3500,46.6800,28.0000,17.8000,29.3500,14.4000
20180228,167.1000,68.1589,177.3000,123.0800,175.1200,163.2600,36.8700,171.5000,77.3400,53.7851,55.7100,63.6700,49.2200,34.1100,154.9400,185.4900,40.8800,42.8100,184.8800,106.5000,36.7800,24.8500,168.9900,131.2400,131.2200,62.5600,51.5900,92.6217,36.7900,40.5700,76.9300,69.5300,100.5300,71.2281,53.3200,58.1600,36.6500,75.2304,57.2500,11.7400,44.3900,32.7300,49.4700,30.4400,51.2900,46.9000,27.1500,16.9800,27.9000,13.9700
20180329,160.2300,65.4435,171.0500,120.5500,168.2500,157.6700,36.2600,169.7000,76.1200,51.8859,55.0200,61.1100,48.4200,34.2700,151.3600,179.4800,39.0300,41.6000,180.1400,104.3400,35.7300,25.0200,152.8000,127.8200,114.5800,59.3900,49.8700,88.8678,36.2300,39.3100,77.4300,69.2700,92.3400,70.0298,52.8400,57.6400,34.5400,75.4032,57.1100,12.0400,43.3000,31.9900,49.3900,29.8200,51.4800,44.8333,29.4800,17.1200,27.6700,14.8000
20180430,160.8600,65.4453,170.8700,123.7800,167.9700,157.7100,36.0100,173.6300,74.7300,51.8374,54.1300,58.9200,50.0500,36.0500,150.9400,180.8700,39.0800,40.4100,168.6600,97.1600,35.3000,25.8200,121.8500,129.1500,112.7700,57.8300,49.6600,87.9991,36.9200,37.4700,76.1500,70.8100,91.4500,67.0965,48.9100,58.9900,33.8700,77.2919,56.1900,14.0500,42.8700,32.3800,50.0800,29.8500,51.6500,40.0667,28.9300,18.5200,28.2900,14.6900
20180531,169.9500,69.8064,182.9100,134.3200,180.5100,166.6600,36.6500,182.9300,78.7000,55.5371,57.0100,61.3700,52.2800,37.4984,158.6500,192.6800,43.4800,41.3700,187.3600,107.1700,36.2500,26.4200,165.0400,135.0200,135.7900,58.9900,53.4300,93.0446,38.2490,37.0900,82.1300,76.4300,105.2400,74.7552,55.1800,57.9500,34.9700,80.6591,61.0200,10.1000,45.5100,34.3100,52.3500,31.4000,51.1800,49.1400,23.7600,14.9100,27.4300,12.6900
20180629,171.4000,69.4413,181.3800,137.6500,178.4100,164.3500,36.2200,182.6000,76.9300,55.2338,56.2200,59.3600,53.1500,37.0400,158.4600,192.8500,44.9300,40.1400,178.2300,102.5400,35.3900,26.3200,141.3900,139.0800,133.4600,55.9600,55.4000,93.2903,38.7400,36.8000,82.1100,75.9900,102.7400,72.3079,52.1900,56.4100,35.6200,80.8902,59.8800,11.4600,44.8700,33.9400,52.4700,31.2400,52.2800,43.2000,23.7600,16.6900,27.0300,12.8900
20180731,176.1000,70.8957,186.1400,135.4500,182.4700,167.0100,37.7300,185.4700,79.3000,56.3561,56.5400,55.8400,53.3600,36.6300,160.9100,196.0500,44.5100,40.8600,185.5300,106.4700,36.6600,26.0900,157.3900,134.9800,140.4500,53.5400,55.1000,92.7411,39.4900,35.4200,83.8600,77.2200,107.0000,74.4782,54.5900,57.2800,32.9500,82.1419,59.9300,10.0200,45.6000,34.8600,52.7900,32.2900,51.6900,44.5900,22.1700,15.9900,27.7100,12.2600
20180831,186.6200,75.5952,202.8200,145.6900,195.8200,176.5800,38.7900,200.8400,81.2200,60.5772,63.2100,50.6700,56.6700,40.3900,169.4400,210.4100,49.6900,42.7400,190.3800,108.9100,38.2000,28.6100,168.1200,138.3700,168.8900,49.3200,59.4600,95.0083,42.4500,33.0400,89.8000,86.5300,122.8700,78.8502,56.2800,56.6500,33.2200,91.0344,68.1000,9.2000,48.1800,36.6400,58.4500,33.8300,56.3500,47.0000,18.3000,15.0400,27.1400,10.6300
20180928,185.7300,75.3002,202.5100,141.5900,193.9800,175.1800,38.7800,205.0100,79.3600,60.2225,63.5800,48.8900,56.7100,40.0800,168.5100,209.5200,47.3500,41.9300,185.1600,106.4100,38.3800,28.4900,154.5800,134.7200,167.2500,48.1600,57.6400,94.4244,42.8600,32.0300,84.2100,87.0000,120.6500,75.8921,53.2000,55.5000,32.0300,90.7728,66.0200,9.7500,47.7600,36.0200,57.9200,33.1800,55.1200,45.0100,18.2600,15.5100,27.1600,10.7500
20181031,169.6900,69.3020,185.3800,126.0200,177.6300,160.3000,35.2000,183.2600,71.5300,55.0015,55.4200,41.5600,51.9600,36.1100,152.4600,187.9900,42.6300,36.4200,162.9500,93.6500,35.3600,24.9700,100.5300,119.4800,125.4500,40.5500,53.5100,83.9699,39.1300,27.9400,75.0800,76.0500,99.8200,67.2985,46.7800,50.0300,29.0700,80.4223,56.7300,13.3300,43.1600,32.9200,52.1300,30.9700,50.2700,34.4400,22.1800,19.2000,24.8300,12.4700
20181130,169.5100,67.9968,182.8300,126.3300,174.0700,157.2800,36.3800,185.6800,74.1700,54.0643,56.7700,43.3400,51.8700,36.5900,154.8700,187.3300,44.3600,37.0000,168.3000,95.7900,36.0200,25.4600,107.1500,119.4300,114.9800,43.7100,53.9400,84.5445,38.8700,29.2900,76.4600,79.5100,94.8700,70.7544,48.7400,48.2900,29.3500,81.1546,56.8000,11.5000,43.0900,33.8000,52.3200,31.8500,51.2000,34.7700,22.6000,18.3200,24.3900,12.7600
20181231,154.1400,61.9826,166.8500,116.6500,159.7700,144.2400,33.3200,173.4500,67.9700,49.3250,52.5200,37.6700,48.2500,33.8500,140.8900,172.0200,37.1800,32.7200,156.8800,87.3300,33.1600,23.4400,83.4000,109.8400,84.9200,39.6600,42.4500,59.5579,35.0200,26.8900,69.2000,73.9800,78.8600,64.7413,44.4600,45.1200,27.7400,75.1330,52.9400,13.1600,39.5400,31.4600,48.4400,28.0500,47.4000,29.7700,27.6900,20.2500,22.0300,14.6400
